ZVIT SCHEMA YAKABOO (Deep Scan)
Total Records: 972,266
====================================================================================================
FIELD NAME                                         | % FILL   | TYPES           | EXAMPLES
----------------------------------------------------------------------------------------------------
_category_id                                       |  100.0%  | int             | 5321; 5321; 5321
_scraped_at                                        |  100.0%  | str             | 2025-12-28T23:20:16.094599; 2025-12-28T23:20:16.094855; 2025-12-28T23:20:16.095028
age                                                |   10.7%  | list            | 
age_label                                          |   10.7%  | list            | 
age_label[].attribute_id                           |   14.0%  | str             | 2867
age_label[].attribute_label                        |   14.0%  | str             | Возраст ребенка
age_label[].label                                  |   14.0%  | str             | Подросткам; Родителям; От 6 до 8 лет
age_label[].option_code                            |   14.0%  | str             | podrostkam; roditeljam; ot_6_do_8_let
age_label[].option_id                              |   14.0%  | str             | 286219; 289066; 286295
age_label[].sort_order                             |   14.0%  | str             | 0; 100
age_label[].url_path                               |   14.0%  | str             | age/view/podrostkam; age/view/roditeljam; age/view/ot-6-do-8-let
another_formats                                    |    2.8%  | list            | 
another_formats[].entity_id                        |   11.0%  | str             | 2383333; 2968504; 2140155
another_formats[].final_price                      |   11.0%  | int             | 1620; 983; 983
another_formats[].regular_price                    |   11.0%  | int             | 1620; 983; 983
another_formats[].type                             |   11.0%  | str             | book; ebook; abook
another_formats[].url                              |   11.0%  | str             | https://www.yakaboo.ua/quantum-supremacy.html; https://www.yakaboo.ua/life-after-google-the-fa...; https://www.yakaboo.ua/notes-on-a-nervous-plane...
another_link                                       |   32.5%  | list            | 
attribute_set_id                                   |  100.0%  | int             | 20; 20; 20
author                                             |   82.7%  | list            | 
author_label                                       |   82.7%  | list            | 
author_label[].attribute_id                        |  109.2%  | str             | 2942
author_label[].attribute_label                     |  109.2%  | str             | Автор
author_label[].label                               |  109.2%  | str             | В. Кушнарев; Владимир Варенко; Владимир Касьян
author_label[].option_code                         |  109.2%  | str             | v_kushnarev; Vladimir_Varenko; volodymyr-kasyan
author_label[].option_id                           |  109.2%  | str             | 897217; 423571; 1553652
author_label[].sort_order                          |  109.2%  | str             | 100; 0; 199
author_label[].url_path                            |  109.2%  | str, null       | author/view/v_kushnarev; author/view/Vladimir_Varenko; author/view/volodymyr-kasyan
barcode                                            |   93.2%  | str             | 9789666023998; 9781484265963; 9780691264486
boardgame_difficulty                               |    0.0%  | list            | 
boardgame_difficulty_label                         |    0.0%  | list            | 
boardgame_difficulty_label[].attribute_id          |    0.0%  | str             | 4123
boardgame_difficulty_label[].attribute_label       |    0.0%  | str             | Уровень сложности
boardgame_difficulty_label[].label                 |    0.0%  | str             | Средний; Простой; Детский
boardgame_difficulty_label[].option_code           |    0.0%  | str             | Srednij; Prostoj; Detskij
