ЗВІТ СТРУКТУРИ ДАНИХ YAKABOO
Всього перевірено товарів: 972,266
============================================================
ПОЛЕ (KEY)                          | КІЛЬКІСТЬ  | ПОКРИТТЯ %
------------------------------------------------------------
attribute_set_id                    | 972,266    | 100.00%
created_at                          | 972,266    | 100.00%
updated_at                          | 972,266    | 100.00%
type_id                             | 972,266    | 100.00%
sku                                 | 972,266    | 100.00%
id                                  | 972,266    | 100.00%
name                                | 972,266    | 100.00%
price                               | 972,266    | 100.00%
status                              | 972,266    | 100.00%
visibility                          | 972,266    | 100.00%
category                            | 972,266    | 100.00%
category_ids                        | 972,266    | 100.00%
default_category                    | 972,266    | 100.00%
final_price                         | 972,266    | 100.00%
regular_price                       | 972,266    | 100.00%
discount_percent                    | 972,266    | 100.00%
product_links                       | 972,266    | 100.00%
promotion_ids                       | 972,266    | 100.00%
promotion_ids_visible               | 972,266    | 100.00%
reward_bonus                        | 972,266    | 100.00%
h1                                  | 972,266    | 100.00%
free_shipping                       | 972,266    | 100.00%
payment_methods                     | 972,266    | 100.00%
tsk                                 | 972,266    | 100.00%
original_price                      | 972,266    | 100.00%
original_price_tax                  | 972,266    | 100.00%
original_price_incl_tax             | 972,266    | 100.00%
price_tax                           | 972,266    | 100.00%
price_incl_tax                      | 972,266    | 100.00%
special_price                       | 972,266    | 100.00%
special_price_tax                   | 972,266    | 100.00%
special_price_incl_tax              | 972,266    | 100.00%
_scraped_at                         | 972,266    | 100.00%
_category_id                        | 972,266    | 100.00%
stock                               | 972,211    | 99.99%
url_path_3                          | 972,067    | 99.98%
url_path_1                          | 972,045    | 99.98%
url_path                            | 972,045    | 99.98%
url_path_2                          | 972,045    | 99.98%
image                               | 972,010    | 99.97%
small_image                         | 972,010    | 99.97%
thumbnail                           | 972,009    | 99.97%
url_key                             | 971,016    | 99.87%
original_final_price                | 968,630    | 99.63%
final_price_tax                     | 968,630    | 99.63%
final_price_incl_tax                | 968,630    | 99.63%
media_gallery                       | 967,323    | 99.49%
mobile_subscribe                    | 960,306    | 98.77%
meta_title                          | 958,373    | 98.57%
meta_description                    | 958,369    | 98.57%
filterable_category_ids             | 956,252    | 98.35%
book_lang_label                     | 943,324    | 97.02%
book_lang                           | 943,324    | 97.02%
book_publication_label              | 943,248    | 97.02%
book_publication                    | 943,248    | 97.02%
book_binding_type_label             | 941,401    | 96.83%
book_binding_type                   | 941,401    | 96.83%
book_publisher                      | 924,267    | 95.06%
book_publisher_label                | 924,261    | 95.06%
book_year_label                     | 922,451    | 94.88%
book_year                           | 922,451    | 94.88%
book_isbn_label                     | 918,248    | 94.44%
book_isbn                           | 918,248    | 94.44%
barcode                             | 906,130    | 93.20%
book_binding_label                  | 866,461    | 89.12%
book_binding                        | 866,461    | 89.12%
description                         | 860,098    | 88.46%
book_illustration_label             | 844,271    | 86.84%
book_illustration                   | 844,271    | 86.84%
book_page_count_label               | 836,800    | 86.07%
book_page_count                     | 836,800    | 86.07%
author                              | 804,335    | 82.73%
author_label                        | 804,236    | 82.72%
keywords                            | 681,311    | 70.07%
book_weight_label                   | 655,237    | 67.39%
book_weight                         | 655,237    | 67.39%
short_description                   | 644,755    | 66.31%
published_at                        | 542,134    | 55.76%
for_filter_is_in_stock              | 336,996    | 34.66%
is_top_sale                         | 331,908    | 34.14%
another_link                        | 316,250    | 32.53%
book_series                         | 298,383    | 30.69%
book_series_label                   | 298,209    | 30.67%
statistics_visits                   | 223,026    | 22.94%
marketplace_id                      | 218,457    | 22.47%
quote                               | 123,678    | 12.72%
mediagallery_image                  | 120,439    | 12.39%
special_from_date                   | 116,861    | 12.02%
age_label                           | 103,847    | 10.68%
age                                 | 103,847    | 10.68%
weight                              | 72,729     | 7.48%
book_print_label                    | 67,306     | 6.92%
book_print                          | 67,306     | 6.92%
promotion_promo_type                | 55,054     | 5.66%
promotions                          | 55,054     | 5.66%
book_period_label                   | 36,795     | 3.78%
book_period                         | 36,795     | 3.78%
book_country                        | 35,011     | 3.60%
book_painter                        | 28,390     | 2.92%
book_painter_label                  | 28,389     | 2.92%
another_formats                     | 27,102     | 2.79%
reviews                             | 25,531     | 2.63%
meta_keyword                        | 24,302     | 2.50%
book_circulation_label              | 21,550     | 2.22%
book_circulation                    | 21,550     | 2.22%
book_translator                     | 20,725     | 2.13%
book_translator_label               | 20,723     | 2.13%
original_special_price              | 16,031     | 1.65%
only_mobile                         | 15,308     | 1.57%
downloadable_product_format         | 15,255     | 1.57%
film_name_en_label                  | 14,632     | 1.50%
film_name_en                        | 14,632     | 1.50%
book_class_label                    | 14,630     | 1.50%
book_class                          | 14,630     | 1.50%
total_sales                         | 11,047     | 1.14%
is_top_sale_count                   | 10,557     | 1.09%
book_paper_label                    | 9,624      | 0.99%
book_paper                          | 9,624      | 0.99%
book_font_label                     | 8,499      | 0.87%
book_font                           | 8,499      | 0.87%
gift_article_label                  | 8,114      | 0.83%
gift_article                        | 8,114      | 0.83%
gift_brand_label                    | 7,709      | 0.79%
gift_brand                          | 7,709      | 0.79%
gift_color_label                    | 7,638      | 0.79%
gift_color                          | 7,638      | 0.79%
children_brand_label                | 7,309      | 0.75%
children_brand                      | 7,309      | 0.75%
children_article_label              | 7,309      | 0.75%
children_article                    | 7,309      | 0.75%
gift_size_label                     | 6,897      | 0.71%
gift_size                           | 6,897      | 0.71%
book_first_year_label               | 6,819      | 0.70%
book_first_year                     | 6,819      | 0.70%
gift_material                       | 6,481      | 0.67%
children_packing                    | 6,009      | 0.62%
image_cover_effect                  | 5,908      | 0.61%
media_gallery_pdf                   | 5,314      | 0.55%
book_gift_label                     | 4,964      | 0.51%
book_gift                           | 4,964      | 0.51%
book_editor_label                   | 4,550      | 0.47%
book_editor                         | 4,550      | 0.47%
gift_series_label                   | 4,349      | 0.45%
gift_series                         | 4,349      | 0.45%
book_history_label                  | 4,025      | 0.41%
book_history                        | 4,025      | 0.41%
book_edition_label                  | 3,911      | 0.40%
book_edition                        | 3,911      | 0.40%
children_size_label                 | 3,470      | 0.36%
children_size                       | 3,470      | 0.36%
book_reference_label                | 3,075      | 0.32%
book_reference                      | 3,075      | 0.32%
book_former_label                   | 3,010      | 0.31%
book_former                         | 3,010      | 0.31%
boardgame_subjects_label            | 2,893      | 0.30%
boardgame_subjects                  | 2,893      | 0.30%
book_program                        | 2,778      | 0.29%
gift_packing_label                  | 2,725      | 0.28%
gift_packing                        | 2,725      | 0.28%
colored                             | 2,542      | 0.26%
gift_organiser                      | 2,174      | 0.22%
notebooks_cover_label               | 2,123      | 0.22%
notebooks_cover                     | 2,123      | 0.22%
gift_organiser_label                | 2,109      | 0.22%
notebook_size_label                 | 2,087      | 0.21%
notebook_size                       | 2,087      | 0.21%
children_packing_size_label         | 2,037      | 0.21%
children_packing_size               | 2,037      | 0.21%
tourism_wear_label                  | 2,002      | 0.21%
tourism_wear                        | 2,002      | 0.21%
children_lang_label                 | 1,997      | 0.21%
children_lang                       | 1,997      | 0.21%
book_literature_label               | 1,969      | 0.20%
book_literature                     | 1,969      | 0.20%
boardgame_type_label                | 1,789      | 0.18%
boardgame_type                      | 1,789      | 0.18%
tea_sort_label                      | 1,655      | 0.17%
tea_sort                            | 1,655      | 0.17%
boardgame_mode_label                | 1,633      | 0.17%
boardgame_mode                      | 1,633      | 0.17%
gift_event_label                    | 1,601      | 0.16%
gift_event                          | 1,601      | 0.16%
boardgame_players_label             | 1,588      | 0.16%
boardgame_players                   | 1,588      | 0.16%
gift_color_pages_label              | 1,554      | 0.16%
gift_color_pages                    | 1,554      | 0.16%
notebook_sheets_label               | 1,501      | 0.15%
notebook_sheets                     | 1,501      | 0.15%
gift_subjects_label                 | 1,332      | 0.14%
gift_subjects                       | 1,332      | 0.14%
children_series_label               | 1,253      | 0.13%
children_series                     | 1,253      | 0.13%
book_type_label                     | 1,169      | 0.12%
book_type                           | 1,169      | 0.12%
book_whom_label                     | 1,163      | 0.12%
book_whom                           | 1,163      | 0.12%
book_style_label                    | 1,157      | 0.12%
book_style                          | 1,157      | 0.12%
book_occasion_label                 | 1,155      | 0.12%
book_occasion                       | 1,155      | 0.12%
