code,description_en,description_uk,parent_code
A,The Arts,Мистецтво,
AB,The arts: general topics,Мистецтво: загальні питання,A
ABA,Theory of art,Теорія мистецтва,AB
ABC,"Conservation, restoration and care of artworks","Консервація, реставрація та збереження витворів мистецтва",AB
ABK,"Forgery, falsification and theft of artworks","Підробка, фальсифікація та крадіжка витворів (творів) мистецтва",AB
ABQ,Art: financial aspects,Мистецтво: фінансові аспекти,AB
AF,The Arts: art forms,Форми мистецтва,A
AFC,Paintings and painting,Картини та живопис,AF
AFCC,Paintings and painting in watercolours or pastels,Картини та акварельний живопис або живопис пастеллю,AFC
AFCL,Paintings and painting in oils,Картини й олійний живопис,AFC
AFCM,Murals and wall paintings,Фресковий живопис і настінний живопис (стінопис),AFC
AFCP,Paintings and painting in ink,Картини та живопис чорнилом (тушшю),AFC
AFF,Drawing and drawings,"Малювання (рисування, креслення) та рисунки (малюнки)",AF
AFFC,"Drawing and drawings in pencil, charcoal, crayon or pastel","Малювання та малюнки (рисунки) олівцем, вугільним олівцем або пастеллю (кольоровим олівцем)",AFF
AFFK,Drawing and drawings in pen or brush and ink,Малювання та малюнки (рисунки) пером (пензлем) тушшю,AFF
AFH,Prints and printmaking,Графіка,AF
AFJ,Other graphic or visual art forms,Інші види графічного й візуального мистецтва,AF
AFJY,Body art and tattoos,Боді-арт і татуювання,AFJ
AFK,Non-graphic and electronic art forms,Неграфічні й електронні форми мистецтва,AF
AFKB,Sculpture,Скульптура,AFK
AFKC,"Carvings, masks, reliefs","Різьблення, трафарети, рельєфи",AFK
AFKG,"Precious metal, precious stones and jewellery: artworks and design","Дорогоцінні метали, дорогоцінні камені та ювелірні вироби (коштовності): твори мистецтва та дизайн",AFK
AFKN,Installation art,Мистецтво інсталяції,AFK
AFKP,Performance art,"Мистецтво перфомансу (видовище, дійство)",AFK
AFKV,"Digital, video and new media arts","Цифрове (комп’ютерне) мистецтво, відео-арт та мистецтво нових медіа",AFK
AFP,"Ceramics, mosaic and glass: artworks","Кераміка, мозаїка та скло: твори мистецтва",AF
AFT,Decorative arts,Прикладне мистецтво,AF
AFW,Textile arts and artworks,Текстильні вироби,AF
AG,"The visual, decorative or fine arts: treatments and subjects",Мистецтво: трактування й тематика,A
AGA,History of art,Історія мистецтва,AG
AGB,"Individual artists, art monographs","Окремі митці, мистецькі монографії",AG
AGC,Exhibition catalogues and specific collections,Каталоги виставок й особливі колекції,AG
AGH,Human figures depicted in the arts,Зображення людських фігур у мистецтві,AG
AGHF,Portraits and self-portraiture in the arts,Портрети та автопортрети в мистецтві,AGH
AGHN,Nudes depicted in the arts,Зображення оголеного тіла в мистецтві,AGH
AGHX,Erotic art / Erotica in the arts,Еротичне мистецтво,AGH
AGK,"Small-scale, secular and domestic scenes in the arts","Невеликі, світські та побутові сцени в мистецтві",AG
AGN,Nature in the arts,Природа в мистецтві,AG
AGNA,Animals in the arts,Тварини в мистецтві,AGN
AGNB,Botanical arts,Ботанічне мистецтво,AGN
AGNL,Landscapes / seascapes in the arts,Пейзажі / морські пейзажі,AGN
AGNS,Still life,Натюрморт,AGN
AGP,Human made objects depicted in the arts,"Рукотворні предмети, відображені в мистецтві",AG
AGR,Religious and ceremonial arts,Релігійно-обрядове мистецтво,AG
AGT,Public art,Паблік-арт. Публічне мистецтво,AG
AGTS,Urban arts,Урбан-арт. Міське мистецтво,AGT
AGZ,The Arts: techniques and principles,Мистецтво: техніки (методи) й принципи,AG
AGZC,Colours and colour theory,Теорії світла й кольору,AGZ
AJ,Photography and photographs,Фотографія та фотографування,A
AJC,Photographs: collections,Фотографії: колекції,AJ
AJCD,Individual photographers,Особистості фотографів,AJC
AJCP,Photography: portraits and self-portraiture,Фотографія: портрети та автопортрети,AJC
AJCX,Erotic and nude photography,Художня еротична та оголена фотографія,AJC
AJF,Photojournalism and documentary photography,Фотожурналістика і документальна фотографія,AJ
AJT,Photographic equipment and techniques: general,Фотообладнання і фотографічні методи загалом,AJ
AJTA,Camera-specific manuals,Посібники для конкретних фотоапаратів (фотокамер),AJT
AJTF,Photography: subject-specific techniques and principles,Фотографія: тематичні прийоми та принципи,AJT
AJTH,Digital photography,Цифрова фотографія,AJT
AJTR,Monochrome photography,Monochrome photography,AJT
AJTS,Light and lighting,Light and lighting,AJT
AJTV,Video photography / videography,Відеозйомка / відеографія,AJT
AK,"Design, Industrial and commercial arts, illustration","Дизайн, промислове та комерційне мистецтво, ілюстрація",A
AKB,Individual designers or design groups,Дизайнери та дизайнерські спільноти,AK
AKC,Graphic design,Графічний дизайн,AK
AKD,Typography and lettering,Книгодрукування і тиснення (написи),AK
AKH,Book design and Bookbinding,Дизайн книг і палітурна справа,AK
AKHM,Manuscripts and illumination,Рукописи та їх оздоблення кольоровими малюнками (ілюстраціями),AKH
AKL,Illustration and commercial art,Ілюстрація та комерційне мистецтво,AK
AKLB,Illustration,Ілюстрація,AKL
AKLC,Comic book and cartoon artwork,Ілюстрація коміксів та мультфільмів,AKL
AKLC1,Graphic novel and Manga artwork,Ілюстрація графічних романів і манг,AKLC
AKLF,Computer game art,Мистецтво комп’ютерної гри,AKL
AKLP,Poster art,Плакатне мистецтво,AKL
AKP,Product design,Дизайн продукції,AK
AKR,Furniture design,Дизайн меблів,AK
AKT,Fashion and textile design,Мода і текстильний дизайн,AK
AKTF,Fashion and textile design: accessories,Мода і текстильний дизайн: аксесуари,AKT
AKTR,National or regional costume / textiles,Національне й регіональне вбрання,AKT
AKX,History of design,Історія дизайну,AK
AM,Architecture,Архітектура,A
AMA,Theory of architecture,Теорія архітектури,AM
AMB,Individual architects and architectural firms,Архітектори та архітектурні фірми,AM
AMC,Architectural structure and design,Архітектурна структура та дизайн (проєкт),AM
AMCD,"Architectural details, components and motifs","Архітектурні деталі, компоненти та мотиви",AMC
AMCM,Materials in architecture,Архітектурні матеріали,AMC
AMCR,Environmentally-friendly and sustainable architecture and design,Екологічна («зелена») архітектура і дизайн,AMC
AMD,Architecture: professional practice,Архітектура: професійна практика,AM
AMG,"Architecture: public, commercial and industrial buildings","Архітектура: громадські, комерційні та промислові будівлі",AM
AMK,Architecture: residential and domestic buildings,Архітектура: житлові та приватні будівлі,AM
AMKH,Architecture: small-scale domestic buildings,Архітектура: малогабаритні житлові споруди,AMK
AMKL,Architecture: castles and fortifications,Архітектура: замки та фортифікаційні споруди (укріплення),AMK
AMKS,"Architecture: palaces, stately homes and mansions","Архітектура: палаци, величні будівлі та особняки (маєтки)",AMK
AMN,Architecture: religious buildings,Архітектура: культові споруди,AM
AMR,Architecture: interior design,Архітектура: дизайн інтер’єру,AM
AMV,Landscape architecture and design,Ландшафтна архітектура та дизайн,AM
AMVD,City and town planning: architectural aspects,Міське проєктування та містобудування: архітектурні аспекти,AMV
AMX,History of architecture,Історія архітектури,AM
AT,Performing arts,Театральне (сценічне) мистецтво,A
ATA,Performing arts: events / competitions / performances,Performing arts: events / competitions / performances,AT
ATC,Individual actors and performers,Актори та виконавці,AT
ATD,Theatre studies,Театрознавство,AT
ATDC,Acting techniques,Акторська майстерність,ATD
ATDF,Theatre direction and production,Театральна режисура і постановка,ATD
ATDH,Theatre: technical and background skills,Театр: техніка і театральна майстерність,ATD
ATDS,Theatre management,Театральний менеджмент,ATD
ATF,"Films, cinema","Фільми, кіномистецтво",AT
ATFA,"Film history, theory or criticism",Кінознавство: теорія чи критика,ATF
ATFB,"Individual film directors, film-makers","Режисери, творці фільмів",ATF
ATFD,Film scripts and screenplays,Кіносценарії,ATF
ATFG,Film guides and reviews,Кіноогляди,ATF
ATFN,Film: styles and genres,Кіно: стилі та жанри,ATF
ATFR,Documentary films,Документальні фільми,ATF
ATFV,Animated films and animation,Анімаційні фільми та анімація,ATF
ATFV1,Anime,Аніме,ATFV
ATFX,Filmmaking and production: technical and background skills,Створення та виробництво фільмів: техніка та кіномайстерність,ATF
ATJ,Television,Телебачення,AT
ATJD,"Television screenplays, scripts and performances",Телевізійні сценарії та вистави,ATJ
ATJS,Television: styles and genres,Телебачення: стилі та жанри,ATJ
ATJS1,Television: reality shows,Television: reality shows,ATJS
ATJX,Television production: technical and background skills,Телепродукція: техніка і кваліфікаційні навички,ATJ
ATL,Radio / podcasts,Радіо / Аудіопрограми (подкасти),AT
ATLD,"Radio plays, scripts and performances","Радіоп’єси, сценарії та вистави",ATL
ATM,"Performing arts genres: film, television, radio, and theatre","Кіно, телебачення, радіо та жанри сценічного мистецтва",AT
ATMB,"Performing arts genres: Action, adventure, crime and thrillers","Кіно-, теле-, радіо- жанри: Бойовик (екшн), пригодницький жанр, кримінальний жанр і трилери",ATM
ATMC,Performing arts genres: Comedy and humour,"Кіно-, теле-, радіожанри: комедія та гумор",ATM
ATMF,Performing arts genres: Drama,"Кіно-, теле-, радіожанри: драма",ATM
ATMH,Performing arts genres: Historical,"Кіно-, теле-, радіожанри: історичний",ATM
ATMN,"Performing arts genres: Science fiction, fantasy and horror","Кіно-, теле-, радіожанри: наукова фантастика, фентезі та жахи",ATM
ATMP,Performing arts genres: Superhero and comic book inspired,"Кіно-, теле-, радіожанри: супергерої та комікси",ATM
ATN,Internet and digital media: arts and performance,Інтернет та цифрові медіа: мистецтво й перфоманс,AT
ATQ,Dance,Танець,AT
ATQC,Choreography,Хореографія,ATQ
ATQL,Ballet,Балет,ATQ
ATQR,Ballroom dancing,Бальні танці,ATQ
ATQT,Contemporary dance,Сучасний танець,ATQ
ATQV,Dancers / choreographers,Танцюристи / хореографи,ATQ
ATQZ,Folk dancing,Народні танці,ATQ
ATR,Performing arts: directing or directors,Performing arts: directing or directors,AT
ATS,Performing arts: makeup,Performing arts: makeup,AT
ATT,Performing arts: costume / props,Performing arts: costume / props,AT
ATV,"Performing arts: production, producing and business aspects","Performing arts: production, producing and business aspects",AT
ATX,Other performing arts,Інші сценічні мистецтва,AT
ATXB,Drag culture and performance,Drag culture and performance,ATX
ATXC,Circus and circus skills,Цирк і циркова майстерність,ATX
ATXD,Comedy and stand-up,Комедія й стендап,ATX
ATXF,Conjuring and magic,Чаклунство та магія,ATX
ATXM,"Puppetry, miniature and toy theatre","Театр ляльок, мініатюр та іграшок",ATX
ATXP,"Pageants, parades, festivals","Конкурси, паради, фестивалі",ATX
ATXZ,"Animal spectacles, performing animals","Вистави з тваринами, дресировані тварини",ATX
ATXZ1,Bullfighting,Корида,ATXZ
ATY,History of Performing Arts,Історія сценічних мистецтв,AT
ATZ,"Film, television, radio and performing arts: companion works","Кіно, телебачення, радіо та сценічні мистецтва: супутні твори",AT
AV,Music,Музика,A
AVA,Theory of music and musicology,Теорія музики та музикознавство,AV
AVC,Music reviews and criticism,Музичні огляди та критика,AV
AVD,Discographies and buyer’s guides,Дискографії та музичні путівники,AV
AVL,Music: styles and genres,Музика: стилі та жанри,AV
AVLA,"Art music, orchestral and formal music","Художня музика, оркестрова та академічна (класична) музика",AVL
AVLC,Choral music,Хорова музика,AVL
AVLF,Opera,Опера,AVL
AVLK,Sacred and religious music,Духовна і релігійна музика,AVL
AVLM,Music of film and stage,Музика кіно і театру,AVL
AVLP,Popular music,Популярна музика,AVL
AVLT,Traditional and folk music,Традиційна та народна музика,AVL
AVLW,Global or regional music styles,Інші світові та регіональні музичні стилі,AVL
AVLX,Electronic music,Електронна музика,AVL
AVM,History of music,Історія музики,AV
AVN,Composers and songwriters,Композитори та пісняри,AV
AVP,"Musicians, singers, bands and groups","Музиканти, співаки, гурти та групи",AV
AVQ,"Musical scores, lyrics and libretti","Музичні партитури, тексти пісень і партитури",AV
AVQS,Songbooks,Пісенники,AVQ
AVR,Musical instruments,Музичні інструменти,AV
AVRG,Keyboard instruments,Клавішні інструменти,AVR
AVRG1,Piano,Фортепіано,AVRG
AVRJ,Percussion instruments,Ударні інструменти,AVR
AVRL,String instruments,Струнні інструменти,AVR
AVRL1,Guitar,Гітара,AVRL
AVRL2,Plucked instruments,Щипкові інструменти,AVRL
AVRL3,Violin and violin family instruments,Скрипка,AVRL
AVRN,Wind instruments,Духові інструменти,AVR
AVRN1,Brass instruments,Brass instruments,AVRN
AVRN2,Woodwind instruments,Woodwind instruments,AVRN
AVRQ,Mechanical musical instruments,Механічні музичні інструменти,AVR
AVRS,Electronic musical instruments,Електронні музичні інструменти,AVR
AVS,Techniques of music / music tutorials / teaching of music,Техніка музики / підручники з музики / викладання музики,AV
AVSA,Singing: techniques,Спів: техніка,AVS
AVSD,Music composition,Музична композиція,AVS
AVX,Music recording and reproduction,Запис і відтворення музики,AV
C,Language and Linguistics,Мова та мовознавство,
CB,Language: reference and general,Мова загалом та довідкова література,C
CBD,Dictionaries,Словники,CB
CBDX,Bilingual and multilingual dictionaries,Двомовні та багатомовні словники,CBD
CBF,Thesauri / conceptual dictionaries,Тезауруси (синонімічні словники),CB
CBG,Usage and grammar guides,Посібники з граматики і вживання мови,CB
CBM,Languages: revitalisation / revival,Languages: revitalisation / revival,CB
CBP,Speaking in public: advice and guides,Публічні виступи: поради та путівники,CB
CBV,Creative writing and creative writing guides,Творче письмо і довідники з творчого письма,CB
CBVS,Screenwriting techniques,Техніка написання сценаріїв,CBV
CBW,Writing and editing guides,Посібники для письменників і видавців,CB
CBX,Language: history and general works,Мова: історія та загальні праці,CB
CF,Linguistics,Мовознавство,C
CFA,Philosophy of language,Філософія мови,CF
